Security Code,Issuer Name,Security Id,Tickers
520119,Automotive Stampings and Assemblies Ltd.,ASAL,520119.BO
520121,Arcee Indusrtries ltd.,ARCEEIN,520121.BO
520123,ABC India Ltd.,ABCINDQ,520123.BO
520127,Balurghat Technologies Ltd.,BALTE,520127.BO
520131,Coastal Roadways Ltd.,COARO,520131.BO
520141,Sibar Auto Parts Ltd.,SIBARAUT,520141.BO
520151,Shreyas Shipping And Logistics Limited,SHREYAS,520151.BO
520155,Starlog Enterprises Limited,STARLOG,520155.BO
521003,Shiva Suitings Ltd.,SHVSUIT,521003.BO
521005,TITAN INTECH LIMITED,TITANIN,521005.BO
521014,Eurotex Industries & Exports Ltd.,EUROTEXIND,521014.BO
521016,Indo Count Industries Ltd,ICIL,521016.BO
521018,Maral Overseas Ltd.,MARALOVER,521018.BO
521034,Soma Textile & Industries Ltd,SOMATEX,521034.BO
521048,Advance Lifestyles Ltd.,ADVLIFE,521048.BO
521054,Kakatiya Textiles Ltd.,KAKTEX,521054.BO
521062,Perfect-Octave Media Projects Ltd,OCTAVE,521062.BO
521064,Trident Ltd,TRIDENT,521064.BO
521068,Hisar Spinning Mills Ltd,HISARSP,521068.BO
521070,Alok Industries Ltd.,ALOKINDS,521070.BO
521080,Pasari Spinning Mills Ltd.,PASARI,521080.BO
521097,Amarjothi Spinning Mills Ltd,AMARJOTHI,521097.BO
521105,Olympia Industries Ltd.,OLYMPTX,521105.BO
521109,Nagreeka Exports Ltd.,NAGREEKEXP,521109.BO
521113,Suditi Industries Ltd.,SUDTIND-B,521113.BO
521131,Shree Bhavya Fabrics Limited,SBFL,521131.BO
521133,Gem Spinners India Ltd,GEMSPIN,521133.BO
521137,Eureka Industries Ltd.,EUREKAI,521137.BO
521141,Aditya Spinners Ltd.,ADITYASP,521141.BO
521149,Prime Urban Development India Ltd,PRIMEURB,521149.BO
521151,Dhanlaxmi Fabrics Ltd.,DHANFAB,521151.BO
521161,Sri Lakshmi Saraswathi Textiles (Ar,SLSTLQ,521161.BO
521163,Zodiac Clothing Co. Ltd.,ZODIACLOTH,521163.BO
521178,Sri Ramakrishna Mills (Coimbatore) Ltd.,SRMCL,521178.BO
